Parm;PM10;NO2;NO;NOX;IQA
15/11/21 16.00;15.38461018;33.4504588;16.41815083;59.18483115;31
15/11/21 18.00;18.55920982;40.86649335;19.00401776;70.51065773;37
15/11/21 20.00;10.7448101;44.46967644;22.85828252;79.99672119;40
15/11/21 22.00;10.25640965;29.80937947;8.121740608;42.85008097;21
16/11/21 0.00;18.07081032;12.71343678;0.87760368;14.77383801;36
16/11/21 2.00;17.09399986;6.673958368;0.345542464;7.963424066;34
16/11/21 4.00;11.23320961;7.265930636;0.057943101;6.119126537;22
16/11/21 6.00;6.837606907;10.36961874;0.543479997;9.917964518;14
16/11/21 8.00;42.97924042;34.11315718;11.03369194;49.36868031;86
16/11/21 10.00;21.48962021;27.97959595;6.619876351;36.56495299;43
16/11/21 12.00;10.7448101;15.53584741;0.518526271;14.9638453;21
16/11/21 14.00;27.10622025;28.99175013;10.32949424;43.24890418;54
16/11/21 16.00;20.75702095;20.7369965;3.130188159;24.08676359;42
16/11/21 18.00;18.07081032;25.28314024;2.684408167;27.87716869;36
16/11/21 20.00;17.58241081;20.58476419;1.037898011;20.72888955;35
16/11/21 22.00;20.75702095;12.29179796;0;10.97629602;42
17/11/21 0.00;13.67521;20.81473823;1.657506165;21.90524864;27
17/11/21 2.00;12.21000957;12.34319667;1.193539845;12.85690935;24
17/11/21 4.00;12.94260979;12.7669069;0.870413435;12.7784428;26
17/11/21 6.00;10.01220989;16.95523991;0.196244123;15.86653834;20
17/11/21 8.00;8.058608055;28.16079519;2.231015159;30.01392584;16
17/11/21 10.00;9.523809433;16.3707446;0.793860128;16.20764286;19
17/11/21 12.00;7.814407825;15.87520873;0.328625641;15.00664473;16
17/11/21 14.00;12.21000957;50.78149571;31.37631502;96.96310223;48
17/11/21 16.00;17.33819962;45.48018953;19.12582484;72.96258847;36
17/11/21 18.00;17.33819962;63.89802799;51.17335064;140.2256165;70
17/11/21 20.00;22.95482063;63.69508806;60.56814908;154.4307701;77
17/11/21 22.00;26.86202049;42.14717242;16.18638382;65.17554889;54
18/11/21 0.00;26.12940979;16.59149575;0.063863855;15.30559804;52
18/11/21 2.00;28.32722092;16.11441112;3.130188159;19.53761849;57
18/11/21 4.00;46.88644028;10.78865827;0;9.474399918;94
18/11/21 6.00;23.44322014;11.61694828;0.094738325;10.42767478;47
18/11/21 8.00;11.72161007;34.94200971;20.44540007;64.38505029;32
18/11/21 10.00;5.860805988;36.05481331;19.91925298;64.66389577;32
18/11/21 12.00;2.930402994;32.62931207;12.86290416;50.5028581;25
18/11/21 14.00;7.326006889;39.66312022;18.68130662;66.28575228;33
18/11/21 16.00;12.21000957;27.91948127;6.405444767;36.00722191;24
18/11/21 18.00;8.547009468;60.1609435;18.08284591;85.36425783;43
18/11/21 20.00;10.7448101;60.04394889;10.7372093;73.98719299;37
18/11/21 22.00;27.8388195;45.85400264;7.172661642;54.67912551;56
19/11/21 0.00;25.39682007;26.11333116;0.1907461;24.71644156;51
19/11/21 2.00;27.59461975;16.24965275;0;14.80172274;55
19/11/21 4.00;19.53602028;13.45899615;0.002114912;12.08261552;39
19/11/21 6.00;17.33819962;14.8177625;0.010573313;13.42109444;35
19/11/21 8.00;10.01220989;39.01762768;7.502555152;48.51590809;24
19/11/21 10.00;14.16361046;26.47563482;6.475653447;34.70637576;28
19/11/21 12.00;10.25640965;15.29971202;1.819070002;16.66417748;21
19/11/21 14.00;13.18680954;20.27144321;3.627143771;24.28649065;26
19/11/21 16.00;11.47741032;17.63899884;1.649894487;18.6868101;23
