Parm;PM10;NO2;NO;NOX;IQA;starnuti;tosse;asma;difficolta_respiratorie;mal_di_testa;sonnolenza;occhi_gonfi;lacrimazione;gola_irritata;prurito
3/6/21 6.00 PM;22.95;25.35;4.92;33.78;46;0;0;0;0;0;0;0;0;0;0
3/6/21 8.00 PM;17.83;30.57;3.01;35.81;36;0;0;0;0;0;0;0;0;0;0
3/6/21 10.00 PM;15.38;43.94;1.14;45.67;31;0;0;0;0;0;0;0;0;0;0
4/6/21 12.00 AM;26.13;19.79;1.25;22.85;52;0;0;0;0;0;0;0;0;0;0
4/6/21 2.00 AM;22.47;4.96;0.75;7.97;45;0;0;0;0;0;0;0;0;0;0
4/6/21 4.00 AM;16.36;4.10;0.60;6.93;33;0;0;0;0;0;0;0;0;0;0
4/6/21 6.00 AM;19.05;20.70;2.80;26.09;38;0;0;0;0;0;0;0;0;0;0
4/6/21 8.00 AM;11.72;40.19;7.63;52.05;26;0;0;0;0;0;0;0;0;0;0
4/6/21 10.00 AM;16.61;19.91;3.16;25.90;33;0;0;0;0;0;0;0;0;0;0
4/6/21 12.00 PM;22.22;15.83;2.52;21.04;44;0;0;0;0;0;0;0;0;0;0
4/6/21 2.00 PM;10.99;15.60;2.86;21.34;22;0;0;0;0;0;0;0;0;0;0
4/6/21 4.00 PM;14.65;20.09;3.60;26.73;29;0;0;0;0;0;0;0;0;0;0
4/6/21 6.00 PM;16.12;23.10;4.47;30.94;32;0;0;0;0;0;0;0;0;0;0
4/6/21 8.00 PM;9.77;34.93;4.52;42.26;21;0;0;0;0;0;0;0;0;0;0
4/6/21 10.00 PM;18.07;26.34;1.21;29.02;36;0;0;0;0;0;0;0;0;0;0
5/6/21 12.00 AM;31.75;17.83;0.80;20.30;63;0;0;0;0;0;0;0;0;0;0
5/6/21 2.00 AM;36.14;5.14;0.67;8.02;72;0;0;0;0;0;0;0;0;0;0
5/6/21 4.00 AM;27.59;2.97;0.68;7.14;55;0;0;0;0;0;0;0;0;0;0
5/6/21 6.00 AM;20.27;17.08;1.64;22.05;41;0;0;0;0;0;0;0;0;0;0
5/6/21 8.00 AM;25.64;21.23;2.57;27.42;51;0;0;0;0;0;0;0;0;0;0
5/6/21 10.00 AM;30.28;20.32;4.00;28.75;61;0;0;0;0;0;0;0;0;0;0
5/6/21 12.00 PM;20.02;16.20;3.24;23.67;40;0;0;0;0;0;0;0;0;0;0
5/6/21 2.00 PM;15.14;9.93;1.67;15.29;30;0;0;0;0;0;0;0;0;0;0
5/6/21 4.00 PM;12.70;17.15;1.90;22.52;25;0;0;0;0;0;0;0;0;0;0
5/6/21 6.00 PM;17.83;18.28;1.78;23.40;36;0;0;0;0;0;0;0;0;0;0
5/6/21 8.00 PM;26.37;31.97;1.61;36.18;53;0;0;0;0;0;0;0;0;0;0
5/6/21 10.00 PM;22.47;12.61;0.81;16.52;45;0;0;0;0;0;0;0;0;0;0
6/6/21 12.00 AM;30.04;11.95;1.21;16.51;60;0;0;0;0;0;0;0;0;0;0
6/6/21 2.00 AM;28.82;2.54;0.60;6.61;58;0;0;0;0;0;0;0;0;0;0
6/6/21 4.00 AM;27.11;1.06;0.64;5.21;54;0;0;0;0;0;0;0;0;0;0
6/6/21 6.00 AM;24.66;7.21;0.91;11.52;49;0;0;0;0;0;0;0;0;0;0
6/6/21 8.00 AM;16.12;6.40;1.14;11.10;32;0;0;0;0;0;0;0;0;0;0
6/6/21 10.00 AM;21.98;15.87;3.50;23.75;44;0;0;0;0;0;0;0;0;0;0
6/6/21 12.00 PM;16.12;17.13;2.71;23.74;32;0;0;0;0;0;0;0;0;0;0
6/6/21 2.00 PM;17.09;12.23;1.67;17.48;34;0;0;0;0;0;0;0;0;0;0
6/6/21 4.00 PM;22.22;9.75;1.37;14.65;44;0;0;0;0;0;0;0;0;0;0
6/6/21 6.00 PM;22.47;15.39;2.12;21.17;45;0;0;0;0;0;0;0;0;0;0
6/6/21 8.00 PM;19.29;38.51;2.76;44.16;39;0;0;0;0;0;0;0;0;0;0
6/6/21 10.00 PM;21.49;25.88;1.10;29.60;43;0;0;0;0;0;0;0;0;0;0
7/6/21 12.00 AM;27.35;9.66;0.71;13.55;55;0;0;0;0;0;0;0;0;0;0
7/6/21 2.00 AM;29.30;3.13;0.60;7.17;59;0;0;0;0;0;0;0;0;0;0
7/6/21 4.00 AM;16.36;8.68;0.68;11.16;33;0;0;0;0;0;0;0;0;0;0
7/6/21 6.00 AM;16.36;15.20;2.00;19.38;33;0;0;0;0;0;0;0;0;0;0
7/6/21 8.00 AM;21.00;19.25;2.58;24.12;42;0;0;0;0;0;0;0;0;0;0
7/6/21 10.00 AM;28.57;18.66;3.66;25.20;57;0;0;0;0;0;0;0;0;0;0
7/6/21 12.00 PM;27.84;16.48;3.94;23.56;56;0;0;0;0;0;0;0;0;0;0
